Datetime,Open,High,Low,Close,Volume
01.08.2024 00:00:00.000,1.28525,1.28544,1.28519,1.28539,266.4
01.08.2024 00:05:00.000,1.28540,1.28541,1.28511,1.28526,171.54
01.08.2024 00:10:00.000,1.28525,1.28533,1.28516,1.28523,248.85
01.08.2024 00:15:00.000,1.28524,1.28557,1.28511,1.28557,242.33999999999997
01.08.2024 00:20:00.000,1.28556,1.28559,1.28548,1.28548,109.35
01.08.2024 00:25:00.000,1.28544,1.28562,1.28535,1.28541,218.70000000000002
01.08.2024 00:30:00.000,1.28540,1.28540,1.28506,1.28516,269.64
01.08.2024 00:35:00.000,1.28515,1.28516,1.28489,1.28492,379.53
01.08.2024 00:40:00.000,1.28488,1.28510,1.28486,1.28510,198.29999999999998
01.08.2024 00:45:00.000,1.28510,1.28529,1.28507,1.28513,264.87
01.08.2024 00:50:00.000,1.28510,1.28531,1.28488,1.28525,384.96999999999997
01.08.2024 00:55:00.000,1.28526,1.28544,1.28516,1.28534,518.85
01.08.2024 01:00:00.000,1.28534,1.28551,1.28530,1.28548,305.54999999999995
01.08.2024 01:05:00.000,1.28547,1.28574,1.28545,1.28545,409.08000000000004
01.08.2024 01:10:00.000,1.28545,1.28548,1.28526,1.28543,436.05
01.08.2024 01:15:00.000,1.28541,1.28549,1.28528,1.28546,532.98
01.08.2024 01:20:00.000,1.28547,1.28583,1.28545,1.28558,445.04999999999995
01.08.2024 01:25:00.000,1.28560,1.28581,1.28556,1.28574,393.75
01.08.2024 01:30:00.000,1.28575,1.28600,1.28573,1.28595,627.0300000000001
01.08.2024 01:35:00.000,1.28597,1.28604,1.28584,1.28590,542.7
01.08.2024 01:40:00.000,1.28589,1.28591,1.28560,1.28563,400.05
01.08.2024 01:45:00.000,1.28562,1.28569,1.28539,1.28557,408.57
01.08.2024 01:50:00.000,1.28557,1.28567,1.28522,1.28544,435.15000000000003
01.08.2024 01:55:00.000,1.28546,1.28567,1.28534,1.28534,363.27
01.08.2024 02:00:00.000,1.28532,1.28536,1.28486,1.28486,356.90999999999997
01.08.2024 02:05:00.000,1.28486,1.28507,1.28475,1.28505,535.5
01.08.2024 02:10:00.000,1.28505,1.28507,1.28487,1.28500,299.34
01.08.2024 02:15:00.000,1.28500,1.28518,1.28497,1.28517,163.8
01.08.2024 02:20:00.000,1.28518,1.28565,1.28515,1.28554,340.83
01.08.2024 02:25:00.000,1.28554,1.28580,1.28545,1.28545,403.65000000000003
01.08.2024 02:30:00.000,1.28546,1.28548,1.28524,1.28537,369.90000000000003
01.08.2024 02:35:00.000,1.28538,1.28567,1.28536,1.28557,334.8
01.08.2024 02:40:00.000,1.28559,1.28564,1.28549,1.28559,352.34999999999997
01.08.2024 02:45:00.000,1.28558,1.28576,1.28555,1.28555,326.25
01.08.2024 02:50:00.000,1.28556,1.28575,1.28553,1.28555,228.21
01.08.2024 02:55:00.000,1.28554,1.28558,1.28515,1.28517,313.62
01.08.2024 03:00:00.000,1.28519,1.28532,1.28513,1.28527,309.6
01.08.2024 03:05:00.000,1.28528,1.28538,1.28520,1.28527,206.55
01.08.2024 03:10:00.000,1.28525,1.28557,1.28525,1.28553,182.34000000000003
01.08.2024 03:15:00.000,1.28553,1.28561,1.28538,1.28542,109.8
01.08.2024 03:20:00.000,1.28542,1.28557,1.28536,1.28557,185.4
01.08.2024 03:25:00.000,1.28556,1.28559,1.28548,1.28553,80.97
01.08.2024 03:30:00.000,1.28551,1.28559,1.28541,1.28557,82.56
01.08.2024 03:35:00.000,1.28557,1.28572,1.28546,1.28547,58.260000000000005
01.08.2024 03:40:00.000,1.28548,1.28549,1.28517,1.28525,124.68
01.08.2024 03:45:00.000,1.28526,1.28536,1.28520,1.28536,143.88
01.08.2024 03:50:00.000,1.28536,1.28548,1.28534,1.28541,140.64
01.08.2024 03:55:00.000,1.28542,1.28546,1.28523,1.28524,229.14
01.08.2024 04:00:00.000,1.28525,1.28548,1.28516,1.28547,243.45
01.08.2024 04:05:00.000,1.28548,1.28575,1.28542,1.28563,144
01.08.2024 04:10:00.000,1.28563,1.28579,1.28559,1.28567,253.35
01.08.2024 04:15:00.000,1.28566,1.28588,1.28565,1.28577,92.7
01.08.2024 04:20:00.000,1.28577,1.28578,1.28546,1.28555,257.58000000000004
01.08.2024 04:25:00.000,1.28554,1.28556,1.28545,1.28554,133.74
01.08.2024 04:30:00.000,1.28555,1.28559,1.28543,1.28547,261.45
01.08.2024 04:35:00.000,1.28547,1.28547,1.28516,1.28528,177.74999999999997
01.08.2024 04:40:00.000,1.28526,1.28548,1.28526,1.28536,111.14999999999999
01.08.2024 04:45:00.000,1.28534,1.28545,1.28532,1.28537,66.60000000000001
01.08.2024 04:50:00.000,1.28534,1.28534,1.28510,1.28524,124.2
01.08.2024 04:55:00.000,1.28522,1.28524,1.28497,1.28502,76.5
01.08.2024 05:00:00.000,1.28501,1.28508,1.28496,1.28503,129.14999999999998
01.08.2024 05:05:00.000,1.28503,1.28517,1.28497,1.28515,61.2
01.08.2024 05:10:00.000,1.28516,1.28519,1.28495,1.28498,109.8
01.08.2024 05:15:00.000,1.28496,1.28518,1.28496,1.28515,117.45
01.08.2024 05:20:00.000,1.28517,1.28531,1.28494,1.28498,146.70000000000002
01.08.2024 05:25:00.000,1.28498,1.28500,1.28475,1.28495,306.90000000000003
01.08.2024 05:30:00.000,1.28496,1.28506,1.28485,1.28488,313.65
01.08.2024 05:35:00.000,1.28482,1.28507,1.28476,1.28492,413.55
01.08.2024 05:40:00.000,1.28491,1.28491,1.28466,1.28482,310.5
01.08.2024 05:45:00.000,1.28484,1.28488,1.28451,1.28464,586.1400000000001
01.08.2024 05:50:00.000,1.28467,1.28484,1.28456,1.28476,567.5099999999999
01.08.2024 05:55:00.000,1.28476,1.28486,1.28464,1.28483,573.87
01.08.2024 06:00:00.000,1.28482,1.28482,1.28438,1.28447,453.03
01.08.2024 06:05:00.000,1.28448,1.28451,1.28364,1.28375,613.2
01.08.2024 06:10:00.000,1.28376,1.28379,1.28340,1.28348,796.6200000000001
01.08.2024 06:15:00.000,1.28348,1.28353,1.28292,1.28305,1030.1699999999998
01.08.2024 06:20:00.000,1.28306,1.28309,1.28281,1.28305,290.25
01.08.2024 06:25:00.000,1.28301,1.28307,1.28234,1.28234,315.15000000000003
01.08.2024 06:30:00.000,1.28233,1.28235,1.28104,1.28108,920.88
01.08.2024 06:35:00.000,1.28108,1.28111,1.28047,1.28082,950.3699999999999
01.08.2024 06:40:00.000,1.28081,1.28090,1.28028,1.28087,744.72
01.08.2024 06:45:00.000,1.28089,1.28122,1.28057,1.28072,709.11
01.08.2024 06:50:00.000,1.28070,1.28082,1.28041,1.28071,444.78000000000003
01.08.2024 06:55:00.000,1.28070,1.28082,1.28041,1.28060,567.99
01.08.2024 07:00:00.000,1.28060,1.28081,1.28020,1.28021,642.3
01.08.2024 07:05:00.000,1.28019,1.28038,1.28002,1.28029,376.65
01.08.2024 07:10:00.000,1.28029,1.28030,1.27891,1.27897,807.51
01.08.2024 07:15:00.000,1.27894,1.27951,1.27891,1.27930,743.93
01.08.2024 07:20:00.000,1.27929,1.27948,1.27917,1.27946,453.63
01.08.2024 07:25:00.000,1.27947,1.27952,1.27898,1.27919,399.41999999999996
01.08.2024 07:30:00.000,1.27918,1.27960,1.27911,1.27940,629.82
01.08.2024 07:35:00.000,1.27939,1.27939,1.27895,1.27931,528.24
01.08.2024 07:40:00.000,1.27932,1.27988,1.27922,1.27982,575.76
01.08.2024 07:45:00.000,1.27980,1.28001,1.27936,1.27940,407.94000000000005
01.08.2024 07:50:00.000,1.27939,1.27939,1.27895,1.27910,548.52
01.08.2024 07:55:00.000,1.27909,1.27931,1.27897,1.27917,374.88000000000005
01.08.2024 08:00:00.000,1.27916,1.27920,1.27832,1.27841,659.13
01.08.2024 08:05:00.000,1.27840,1.27857,1.27830,1.27851,1072.38
01.08.2024 08:10:00.000,1.27851,1.27852,1.27780,1.27813,1110.54
01.08.2024 08:15:00.000,1.27813,1.27823,1.27780,1.27797,1117.6200000000001
01.08.2024 08:20:00.000,1.27797,1.27832,1.27793,1.27827,699.3
01.08.2024 08:25:00.000,1.27828,1.27840,1.27800,1.27828,599.5799999999999
01.08.2024 08:30:00.000,1.27828,1.27848,1.27818,1.27840,444.15
01.08.2024 08:35:00.000,1.27842,1.27862,1.27810,1.27822,808.77
01.08.2024 08:40:00.000,1.27822,1.27862,1.27819,1.27827,786.15
01.08.2024 08:45:00.000,1.27830,1.27839,1.27804,1.27812,562.23
01.08.2024 08:50:00.000,1.27810,1.27821,1.27760,1.27800,906
01.08.2024 08:55:00.000,1.27800,1.27822,1.27787,1.27789,515.88
01.08.2024 09:00:00.000,1.27788,1.27788,1.27706,1.27707,540.99
